City,start_month,Start_Lat,Start_Lng,Severity,State,Total Accidents
Abbottstown,2,39.88685,-76.984672,2,PA,1
Abbottstown,2,39.88685,-76.984672,4,PA,1
Abbottstown,2,39.88729119,-76.98490262,4,PA,1
Abbottstown,2,39.889067,-76.975228,2,PA,1
Abbottstown,2,39.89548802,-76.98608279,2,PA,1
Abbottstown,3,39.88863,-76.977074,2,PA,1
Abbottstown,3,39.910631,-77.001244,2,PA,1
Abbottstown,4,39.872497,-76.970261,2,PA,1
Abbottstown,4,39.87624,-77.013512,2,PA,1
Abbottstown,4,39.886636,-76.98478100000001,4,PA,1
Abbottstown,4,39.888439,-76.977898,2,PA,1
Abbottstown,4,39.888493,-76.97779200000002,2,PA,1
Abbottstown,4,39.893315,-76.960645,2,PA,1
Abbottstown,5,39.876834,-76.983131,2,PA,1
Abbottstown,5,39.877723,-77.009617,2,PA,1
Abbottstown,5,39.882446,-76.997333,2,PA,1
Abbottstown,5,39.886548,-76.984527,2,PA,1
Abbottstown,5,39.886744,-76.98442299999998,2,PA,1
Abbottstown,6,39.885247,-76.989515,2,PA,1
Abbottstown,6,39.88764000000001,-76.981381,2,PA,1
Abbottstown,6,39.918898,-76.9822,4,PA,1
Abbottstown,7,39.87624049167693,-77.01352715455523,2,PA,1
Abbottstown,7,39.87624049167693,-77.01352715455523,4,PA,1
Abbottstown,8,39.886581,-76.98455600000001,2,PA,1
Abbottstown,8,39.886581,-76.98455600000001,4,PA,1
Abbottstown,8,39.887308,-76.984911,2,PA,1
Abbottstown,8,39.888023,-76.979667,2,PA,1
Abbottstown,8,39.889067,-76.975228,2,PA,1
Abbottstown,8,39.892057,-76.964344,2,PA,1
Abbottstown,9,39.88243,-76.997384,2,PA,1
Abbottstown,9,39.882569,-76.988805,2,PA,1
Abbottstown,9,39.883845,-76.993587,2,PA,1
Abbottstown,10,39.886416,-77.00280500000002,2,PA,1
Abbottstown,11,39.895389,-76.956476,2,PA,1
Abbottstown,12,39.898153,-77.015087,2,PA,1
Abbottstown,12,39.900888,-77.000088,2,PA,1
Aberdeen,1,35.095576,-79.373544,2,NC,1
Aberdeen,1,35.141214,-79.467562,2,NC,1
Aberdeen,1,35.14257,-79.466858,2,NC,1
Aberdeen,1,39.482091,-76.21242,2,MD,1
Aberdeen,1,39.483348,-76.210225,2,MD,1
Aberdeen,1,39.48602,-76.238967,2,MD,1
Aberdeen,1,39.48692,-76.24444799999998,2,MD,1
Aberdeen,1,39.487991,-76.191544,2,MD,1
Aberdeen,1,39.48848,-76.197436,2,MD,1
Aberdeen,1,39.488541,-76.19747199999998,2,MD,1
Aberdeen,1,39.489038,-76.196416,2,MD,1
Aberdeen,1,39.491901,-76.23852,2,MD,1
Aberdeen,1,39.492424,-76.237884,2,MD,1
Aberdeen,1,39.492558,-76.237675,2,MD,1
Aberdeen,1,39.49352145176175,-76.23598694764979,2,MD,1
Aberdeen,1,39.502968,-76.221674,2,MD,2
Aberdeen,1,39.503915,-76.218899,2,MD,1
Aberdeen,1,39.504879,-76.21656,2,MD,1
Aberdeen,1,39.50613856296775,-76.21435761415378,2,MD,1
Aberdeen,1,39.506141,-76.21435100000002,4,MD,1
Aberdeen,1,39.506401,-76.214588,2,MD,3
Aberdeen,1,39.508025,-76.164294,2,MD,1
Aberdeen,1,39.509343,-76.163492,2,MD,1
Aberdeen,1,39.51248,-76.206549,2,MD,1
Aberdeen,1,39.513421,-76.17485699999997,2,MD,1
Aberdeen,1,39.513638,-76.160782,2,MD,1
Aberdeen,1,39.514224,-76.176187,2,MD,2
Aberdeen,1,39.514888,-76.177346,2,MD,1
Aberdeen,1,39.515095,-76.15973699999998,2,MD,1
Aberdeen,1,39.515182,-76.158856,2,MD,1
