City,Total Accidents
Carnelian Bay,38
Carnesville,69
Carney,1
Caro,1
Carol Stream,355
Carolina Beach,1
Carp Lake,2
Carpentersville,2
Carpinteria,506
Carpio,7
Carr,58
Carrabelle,15
Carrier Mills,1
Carriere,3
Carrington,11
Carroll,45
Carrollton,1073
Carrolltown,97
Carrsville,16
Carson,1693
Carson City,463
Carter,2
Carteret,213
Cartersville,315
Carthage,98
Cartwright,7
Caruthers,220
Caruthersville,5
Carver,27
Cary,1424
Caryville,233
Casa Blanca,94
Casa Grande,202
Casar,4
Cascade,179
Cascade Locks,283
Cascadia,6
Casco,39
Casey,39
Caseyville,72
Cash,6
Cashiers,28
Cashion,7
Casmalia,29
Casnovia,1
Caspar,19
Casper,36
Cass Lake,61
Cassatt,98
Cassel,18
Casselberry,199
Casselton,5
Cassoday,1
Cassopolis,8
Cassville,22
Castaic,1086
Castalia,80
Castalian Springs,6
Castella,96
Castile,5
Castle Creek,7
Castle Dale,8
Castle Hayne,51
Castle Pines,2
Castle Rock,547
Castleberry,31
Castleton On Hudson,145
Castlewood,14
Castro Valley,1814
Castroville,469
Cataldo,9
Catarina,3
Catasauqua,4
Cataumet,1
Catawba,123
Catawissa,90
Catharpin,9
Cathay,1
Catherine,5
Catheys Valley,78
Cathlamet,8
Catlett,133
Catlettsburg,1
Cato,28
Catonsville,546
Catoosa,15
Catskill,305
Cave City,10
Cave Creek,35
Cave Junction,143
Cave Spring,9
Cave Springs,1
Cave-in-Rock,3
Cayce,94
Cayucos,101
Cayuga,3
Cayuta,3
Cazadero,70
Cecil,16
Cecilia,6
Cecilton,3
Cedar,2
Cedar Bluff,31
Cedar City,502
Cedar Creek,33
Cedar Crest,1
Cedar Falls,19
Cedar Glen,38
Cedar Grove,42
Cedar Hill,87
Cedar Key,10
Cedar Knolls,77
Cedar Lake,2
Cedar Park,149
Cedar Rapids,435
Cedar Run,3
Cedar Springs,110
Cedar Valley,77
Cedarbluff,1
Cedarburg,3
Cedarhurst,3
Cedarpines Park,71
Cedartown,34
Cedarville,43
Celina,30
Cement City,21
Centennial,19
Center,15
Center Barnstead,3
Center City,13
Center Conway,1
Center Cross,20
Center Hill,20
Center Line,32
Center Moriches,5
Center Point,30
Center Ridge,3
Center Sandwich,2
Center Tuftonboro,2
Center Valley,129
Centerburg,11
Centereach,79
Centerfield,5
Centerport,1
Centerton,2
Centerville,345
Central,316
Central City,73
Central Coast,1
Central Contra Costa,13
Central Islip,50
Central Point,321
Central Square,11
Central Valley,132
Centralia,57
Centre,45
Centre Hall,196
Centreville,1970
Century,77
Ceres,557
Ceresco,4
Cerrillos,4
Cerritos,1640
Cerro Gordo,1
Ceylon,2
Chadbourn,24
Chadds Ford,126
Chadwicks,2
Chaffee,2
Chagrin Falls,40
Chalfont,39
Challenge,17
Chalmers,18
Chambers,162
Chambersburg,435
Champaign,148
Champion,11
Champions Gate,46
Champlain,39
Champlin,167
Chancellor,4
Chandler,1684
Chanhassen,155
Channahon,78
Channelview,112
Channing,3
Chantilly,967
Chanute,1
Chaparral,4
Chapel Hill,290
Chapin,820
Chaplin,7
Chapman,1
Chapmanville,18
Chappaqua,74
Chappell,4
Chappell Hill,1
Chappells,31
Chaptico,1
Chardon,27
Chariton,12
Charleroi,73
Charles City,159
Charles Town,69
Charleston,3180
Charleston Afb,2
Charlestown,185
Charlevoix,1
Charlo,35
Charlotte,40506
