City,Total Accidents
Forest Knolls,7
Forest Lake,530
Forest Lakes,31
Forest Park,660
Forest Ranch,88
Foresthill,166
Foreston,9
Forestport,13
Forestville,180
Foristell,65
Fork,24
Fork Union,13
Forked River,86
Forkland,3
Forks,25
Forks of Salmon,14
Forksville,19
Forman,2
Formoso,2
Forney,384
Forrest,1
Forrest City,115
Forreston,13
Forsyth,515
Fort A P Hill,1
Fort Ann,91
Fort Atkinson,6
Fort Belvoir,54
Fort Benning,7
Fort Benton,21
Fort Bidwell,2
Fort Blackmore,4
Fort Bliss,32
Fort Bragg,276
Fort Branch,11
Fort Bridger,99
Fort Calhoun,6
Fort Campbell,4
Fort Collins,421
Fort Davis,15
Fort Defiance,40
Fort Denaud,14
Fort Deposit,64
Fort Dix,2
Fort Dodge,9
Fort Drum,3
Fort Duchesne,16
Fort Edward,72
Fort Eustis,2
Fort Garland,50
Fort Gay,1
Fort George G Meade,43
Fort Gibson,1
Fort Gordon,1
Fort Gratiot,24
Fort Hancock,22
Fort Harrison,4
Fort Hill,5
Fort Hood,11
Fort Jones,56
Fort Klamath,13
Fort Knox,2
Fort Lauderdale,8892
Fort Lawn,82
Fort Lee,1970
Fort Littleton,42
Fort Loudon,13
Fort Lupton,32
Fort Madison,5
Fort Mc Coy,72
Fort McCoy,34
Fort McDowell,84
Fort Meade,26
Fort Mill,2045
Fort Mitchell,79
Fort Mohave,47
Fort Monmouth,1
Fort Monroe,99
Fort Montgomery,125
Fort Morgan,67
Fort Myer,64
Fort Myers,8683
Fort Myers Beach,159
Fort Oglethorpe,2
Fort Payne,36
Fort Peck,1
Fort Pierce,632
Fort Plain,72
Fort Recovery,1
Fort Rice,2
Fort Ripley,35
Fort Ripley city,2
Fort Rock,14
Fort Rucker,10
Fort Scott,2
Fort Shaw,10
Fort Sill,1
Fort Smith,400
Fort Stockton,31
Fort Thomas,23
Fort Valley,105
Fort Walton Beach,877
Fort Washington,1219
Fort Wayne,320
Fort White,82
Fort Worth,6571
Fort Yates,6
Fortine,2
Fortson,39
Fortuna,172
Fortville,4
Fossil,38
Fosston,22
Foster,64
Foster City,13
Fosters,98
Fostoria,1
Fouke,6
Fountain,426
Fountain City,10
Fountain Green,10
Fountain Hill,10
Fountain Hills,1
Fountain Inn,563
Fountain Valley,773
Four Oaks,108
Fowler,423
Fowlerville,67
Fox,2
Fox Island,1
Fox Lake,43
Fox River Grove,5
Foxboro,214
Foxburg,2
Foxworth,2
Frackville,32
Frametown,17
Framingham,190
Francesville,5
Franconia,7
Frankenmuth,4
Frankford,26
Frankfort,190
Franklin,867
Franklin Furnace,2
Franklin Grove,1
Franklin Lakes,43
Franklin Park,150
Franklin Square,34
Franklinton,29
Franklintown,1
Franklinville,56
Frankston,1
Franksville,20
Frankton,1
Franktown,26
Frazee,63
Frazer,13
Frazeysburg,7
Frazier Park,154
Fraziers Bottom,29
Frederic,1
Frederica,27
Frederick,3046
Fredericksburg,3761
Fredericktown,26
Fredonia,68
Free Soil,7
Free Union,2
Freeburg,14
Freedom,66
Freehold,144
Freeland,19
Freeman,30
Freeport,397
Freer,1
Freeville,8
Fremont,2974
French Camp,419
French Gulch,108
Frenchglen,7
Frenchtown,55
Frenchville,21
Fresh Meadows,523
Fresno,6628
Friant,186
Friedens,49
Friendship,10
Friendsville,39
Friendswood,107
Frierson,3
Frisco,432
Frisco City,2
Fritch,2
Fromberg,10
Front Royal,259
Frontenac,8
Frostburg,41
Frostproof,26
Fruit Heights,3
Fruita,13
Fruitland,27
Fruitland Park,38
Fruitport,15
Fryburg,5
Ft Mitchell,208
Ft Wright,10
Fulda,22
Fulks Run,35
Fullerton,1290
Fulton,209
Fultondale,78
Fultonville,109
Fuquay Varina,172
Fuquay-Varina,62
Furlong,3
Fyffe,5
Gable,106
Gackle,3
Gadsden,68
Gaffney,1579
Gahanna,1
Gail,1
Gaines,66
Gainesboro,18
Gainesville,1963
Gaithersburg,478
Galata,1
Galax,17
Galena,125
Galena Park,4
Gales Creek,79
Gales Ferry,19
Galesburg,116
Galeton,32
Galien,1
Galion,6
Galivants Ferry,151
Gallagher,80
Gallatin,29
Gallatin Gateway,141
Gallion,4
Gallipolis,10
Gallitzin,50
Galloway,44
Gallup,99
Galt,661
Galva,1
Galveston,61
Galway,40
Gamaliel,6
Gambrills,51
Ganado,279
Gandeeville,3
Gansevoort,312
Gap,162
Garberville,180
Garden City,304
Garden Grove,1965
Garden Prairie,19
Garden Valley,63
Gardena,2609
Gardendale,98
Gardiner,97
Gardner,181
Gardners,60
Gardnerville,121
Garfield,80
Garibaldi,10
Garland,1140
Garland City,1
Garner,2787
Garnerville,3
Garnet Valley,14
Garnett,39
Garrett,27
Garrettsville,3
Garrison,192
Garryowen,46
Garvin,28
Garwood,1
Gary,870
Garysburg,52
Garyville,12
Gas City,17
Gasburg,13
Gasport,10
Gasquet,121
Gassaway,16
Gassville,2
Gaston,719
Gastonia,335
Gate City,32
Gates,73
Gates Mills,6
Gatesville,3
Gateway,5
Gatlinburg,10
Gatzke,1
Gauley Bridge,1
Gautier,73
Gay,11
Gaylesville,11
Gaylord,64
Gazelle,10
Geismar,11
Genesee,21
Geneseo,34
Geneva,121
Genoa,30
Genola,2
Gentry,11
George West,1
Georgetown,1051
Georgiana,62
Geraldine,8
Gerber,156
Gerlach,1
German Twp,1
Germanton,10
Germantown,384
Gerton,3
Gervais,106
Gettysburg,401
Getzville,3
Geyser,13
Geyserville,161
Ghent,88
Gibbon,12
Gibbonsville,1
Gibbstown,43
Gibsland,13
Gibson,12
Gibsonburg,2
Gibsonia,46
Gibsonton,595
Gibsonville,9
Giddings,3
Gifford,11
Gig Harbor,236
Gig Harbor Peninsula,1
Gila Bend,140
Gilbert,588
Gilberton,2
Gilbertown,2
Gilberts,39
Gilbertsville,186
Gilchrist,170
Gildford,8
Gilford,10
Gill,11
Gillett,9
Gillette,26
Gillham,3
Gilliam,1
Gilman,4
Gilmanton,2
Gilmanton Iron Works,3
Gilmer,3
Gilmore,22
Gilroy,1240
Gilson,4
Gilsum,1
Giltner,6
Girard,123
Glade Hill,25
Glade Spring,120
Glade Valley,3
Glades,1
Gladewater,3
Gladstone,124
Gladwyne,252
Gladys,38
Glasgow,160
Glassboro,31
Glassport,3
Glastonbury,138
Gleason,3
Glen,1
Glen Allen,1341
Glen Arm,2
Glen Aubrey,6
Glen Burnie,753
Glen Campbell,10
Glen Carbon,47
Glen Daniel,2
Glen Echo,6
Glen Ellen,129
Glen Ellyn,321
Glen Gardner,3
Glen Head,35
Glen Hope,6
Glen Jean,1
Glen Lyn,1
Glen Mills,135
Glen Morgan,3
Glen Oaks,26
Glen Richey,3
Glen Ridge,5
Glen Rock,154
Glen Saint Mary,121
Glen St Mary,50
Glen Ullin,16
Glenarden,4
Glenarm,16
Glenbeulah,1
Glenbrook,91
Glenburn,2
Glencoe,168
Glendale,2987
Glendale Heights,285
Glendive,160
Glendo,30
Glendora,1518
Gleneden Beach,16
Glenelg,5
Glenfield,19
Glenford,1
Glenhaven,31
Glenmont,103
Glenmoore,134
Glenn,60
Glenn Dale,1
Glenns Ferry,35
Glennville,40
Glenolden,53
Glenoma,4
Glenpool,2
Glenrock,13
Glens Falls,7
Glenshaw,3
Glenside,420
Glenview,50
Glenville,91
Glenwood,104
Glenwood Landing,1
Glenwood Springs,556
Glidden,2
Glide,79
Globe,79
Glorieta,3
Gloster,6
Gloucester,323
Gloucester City,316
Gloucester Point,25
Glouster,6
Gloversville,15
Gloverville,12
Glyndon,43
Gnadenhutten,3
Gobles,3
Godfrey,3
Godley,1
Godwin,358
Goffstown,5
Golconda,63
Gold Bar,16
Gold Beach,127
Gold Canyon,58
Gold Creek,66
Gold Hill,227
Gold River,46
Gold Run,58
Golden,822
Golden Beach,23
Golden City,1
Golden Valley,145
Goldendale,75
Goldens Bridge,35
Goldfield,18
Goldsboro,129
Goldsmith,3
Goldston,14
Goldthwaite,7
Goldvein,12
Goleta,640
Golf,1
Goliad,7
Gonvick,4
Gonzales,275
Goochland,53
Good Hope,2
Good Thunder,16
Goode,48
Goodells,11
Goodfield,16
Goodhue,19
Goodland,2
Goodlettsville,567
Goodman,3
Goodrich,84
Goodridge,3
Goodview,19
Goodwater,1
Goodwin,5
Goodyear,661
Goodyears Bar,8
Goose Creek,457
Goose Lake,2
Gordo,10
Gordon,15
Gordonsville,224
Gordonville,78
Gore,37
Goreville,23
Gorham,2
Gormania,3
Goshen,262
Gosport,11
Gotha,189
Gothenburg,10
Gould,8
Gould City,3
Gouldsboro,35
Gouverneur,5
Government Camp,282
Gowanda,2
Gowen,8
Gower,1
Gowrie,3
Grabill,21
Graceville,36
Gracewood,1
Grady,23
Graford,4
Grafton,69
Graham,248
Grain Valley,109
Grambling,1
Gramercy,25
Grampian,58
Granada,38
Granada Hills,690
Granbury,2
Granby,34
Grand Bay,121
Grand Blanc,730
Grand Cane,1
Grand Canyon,21
Grand Forks,56
Grand Haven,140
Grand Island,233
Grand Isle,1
Grand Junction,52
Grand Ledge,35
Grand Marais,2
Grand Meadow,34
Grand Prairie,1267
Grand Rapids,7525
Grand Ridge,115
Grand Rivers,9
Grand Ronde,151
Grand Terrace,456
Grand View,2
Grandin,27
Grandview,260
Grandville,239
Grandy,5
Granger,32
Grangeville,4
Granite,4
Granite Bay,292
Granite Canon,31
Granite City,194
Granite Falls,120
Granite Springs,1
Graniteville,253
Grannis,3
Grant,106
Grant Park,6
Grantham,6
Granton,3
Grants,19
Grants Pass,715
Grantsboro,5
Grantsburg,3
Grantsville,235
Grantville,369
Granville,107
Granville Summit,8
Grapeland,3
Grapeview,11
Grapevine,262
Grasonville,88
Grass Lake,79
Grass Range,29
Grass Valley,1122
Grassflat,53
Grasston,18
Grassy Butte,13
Grassy Creek,8
Grassy Meadows,4
Gratis,1
Graton,10
Gravette,14
Grawn,3
Gray,36
Gray Court,495
Gray Mountain,19
Gray Summit,4
Grayland,2
Grayling,18
Grays River,1
Grayslake,506
Grayson,22
Graysville,36
Graytown,6
Grayville,11
Great Barrington,2
Great Bend,16
Great Falls,350
Great Lakes,21
Great Meadows,13
Great Mills,8
Great Neck,412
Great River,28
Great Valley,7
Greeley,76
Greeleyville,33
Green Bay,160
Green Brook,14
Green Cove Springs,119
Green Forest,16
Green Isle,21
Green Lane,111
Green Mountain,2
Green Mountain Falls,4
Green Pond,58
Green River,253
Green Sea,67
Green Springs,1
Green Sulphur Springs,28
Green Valley,7
Green Valley Lake,18
Greenacres,31
Greenback,4
Greenbelt,435
Greenbrae,202
Greenbrier,53
Greenbush,5
Greencastle,157
Greendale,4
Greene,7
Greeneville,84
Greenfield,578
Greenfield Center,39
Greenfield Park,1
Greenland,6
Greenlawn,10
Greenleaf,2
Greenough,6
Greenport,8
Greens Fork,19
Greensboro,1280
Greensburg,522
Greentown,93
Greenup,13
Greenvale,12
Greenville,12796
Greenwell Springs,307
Greenwich,1111
Greenwood,1337
Greenwood Village,2
Greer,3297
Grenada,72
Grenora,1
Grenville,2
Gresham,93
Gretna,327
Grey Eagle,12
Greybull,6
Greycliff,84
Gridley,183
Griffin,380
Griffith,4
Griffithville,1
Grifton,28
Griggsville,10
Grimes,48
Grimesland,19
Grindstone,1
Grinnell,159
Griswold,2
Grizzly Flats,21
Groom,7
Grosse Pointe,2
Grosse Tete,227
Groton,126
Grottoes,56
Grouse Creek,13
Grove City,324
Grove Hill,3
Groveland,462
Groveport,98
Grover,33
Grover Beach,4
Grovertown,9
Groves,2
Groveton,4
Grovetown,132
Grundy,21
Grundy Center,1
Gruver,2
Grygla,4
Guadalupe,30
Gualala,85
Guerneville,173
Gueydan,1
Guffey,23
Guild,177
Guilderland,14
Guilford,206
Guin,11
Guinda,6
Gulf Breeze,522
Gulf Shores,2
Gulfport,155
Gulliver,5
Gully,2
Gulph Mills,1
Gum Spring,72
Gunnison,71
Guntersville,24
Gurdon,62
Gurley,37
Gurnee,779
Gustine,488
Guston,1
Guthrie,29
Guthrie Center,1
Guys,1
Guysville,4
Guyton,2
Gwinner,7
Gwynn Oak,421
Gypsum,129
Hacienda Heights,2152
Hackberry,11
Hackensack,246
Hackett,3
Hackettstown,66
Hackleburg,4
Haddam,17
Haddock,2
Haddon Heights,75
Haddon Township,8
Haddonfield,21
Hadley,20
Hagaman,1
Hager City,8
Hagerman,2
Hagerstown,1101
Hague,31
Hahira,20
Haines,99
Haines City,112
Haines Falls,4
Hainesport,22
Hainesville,18
Hale Center,1
Halethorpe,1207
Haleyville,11
Half Moon Bay,326
Half Way,2
Halfmoon,207
Halfway,16
Halifax,226
Hall,6
Hallam,5
Hallandale,1231
Hallandale Beach,66
Halliday,5
Hallowell,3
Hallsboro,4
Hallstead,22
Hallsville,9
Hallwood,14
Halsey,136
Haltom City,118
Hambleton,2
Hamburg,423
Hamden,177
Hamel,23
Hamer,128
Hamilton,504
Hamilton City,38
Hamlet,36
Hamlin,28
Hammett,34
Hammond,1084
Hammonton,217
Hampden,12
Hampshire,62
Hampstead,178
Hampton,2221
Hampton Bays,45
Hampton Falls,1
Hamptonville,65
Hamshire,3
Hamtramck,153
Hanahan,22
Hanceville,159
Hancock,168
Hanford,877
Hanford Site,5
Hankinson,16
Hanksville,31
Hanley Falls,15
Hanlontown,3
Hanna,158
Hanna City,2
Hannacroix,49
Hannaford,1
Hannibal,22
Hanover,1015
Hanover Park,336
Hanover Township,2
Hanoverton,1
Hanscom Afb,1
Hansford,2
Hanska,10
Hanson,44
Hanston,3
Happy Camp,55
Happy Jack,26
Happy Valley,224
Harbinger,4
Harbor City,394
Harbor Springs,1
Harborcreek,17
Harcourt,1
Hardeeville,608
Hardin,77
Hardinsburg,3
Hardy,41
Hardyville,6
Harford,15
Harker Heights,1
Harlan,40
Harlem,61
Harleysville,442
Harleyville,279
Harlingen,2
Harlowton,4
Harmans,8
Harmon,2
Harmony,64
Harper,101
Harper Woods,202
Harpers Ferry,70
Harpersville,22
Harpster,4
Harpursville,3
Harrells,5
Harrellsville,7
Harriman,156
Harrington,48
Harrington Park,2
Harris,41
Harrisburg,2087
Harrison,572
Harrison City,20
Harrison Township,139
Harrison Valley,9
Harrisonburg,803
Harrisonville,100
Harrisville,83
Harrod,1
Harrodsburg,1
Harrold,2
Harshaw,3
Hartfield,22
Hartford,2354
Hartford City,1
Hartland,31
Hartleton,2
Hartly,13
Hartman,37
Hartsburg,6
Hartsdale,60
Hartsel,27
Hartselle,77
Hartsfield,6
Hartsville,595
Hartville,1
Hartwell,8
Harvard,26
Harvest,86
Harvey,72
Harveys Lake,3
Harwich,14
Harwich Port,1
Harwick,1
Harwinton,34
Harwood,33
Harwood Heights,3
Hasbrouck Heights,118
Haskell,36
Haslet,29
Haslett,10
Hastings,517
Hastings on Hudson,68
Hastings-on-Hudson,27
Haswell,9
Hat Creek,25
Hatboro,359
Hatch,10
Hatchechubbee,1
Hatfield,424
Hathaway,17
Hatley,3
Hattiesburg,693
Hattieville,1
Haubstadt,29
Haugan,15
Haughton,15
Hauppauge,337
Havana,169
Havelock,6
Haverford,81
Haverhill,179
Haverstraw,7
Havertown,93
Haviland,2
Havre,67
Havre de Grace,275
Haw River,70
Hawaiian Gardens,46
Hawarden,1
Hawesville,10
Hawick,27
Hawk Point,1
Hawk Run,6
Hawkinsville,16
Hawley,98
Hawthorn,4
Hawthorn Woods,30
Hawthorne,1719
Haxtun,11
Hayden,137
Hayes,137
Hayesville,74
Hayfield,34
Hayfork,159
Haymarket,177
Hayneville,25
Hays,9
Haysi,8
Hayti,8
Hayward,3778
Hazel,1
Hazel Crest,237
Hazel Green,106
Hazel Park,253
Hazelton,56
Hazelwood,363
Hazen,75
Hazle Township,6
Hazlehurst,39
Hazlet,103
Hazlet Township,1
Hazleton,86
Head Waters,10
Headland,23
Healdsburg,308
Heart Butte,1
Heaters,1
Heath,22
Heath Springs,101
Heathsville,112
Heber,68
Heber City,597
Heber Springs,24
Hebo,50
Hebron,246
Hector,46
Hedgesville,18
Heflin,203
Hegins,1
Heidelberg,3
Heilwood,4
Heiskell,59
Helena,453
Helendale,215
Helix,43
Hellam,1
Hellertown,109
Helm,5
Helmville,26
Helper,98
Heltonville,1
Hemet,171
Hemingway,168
Hemphill,3
Hempstead,242
Henagar,3
Henderson,503
Hendersonville,873
Hendricks,2
Henefer,17
Henley,1
Henniker,2
Henning,42
Henrico,3521
Henrietta,169
Henrieville,5
Henry,9
Henryetta,1
Henryville,94
Hensley,30
Hephzibah,259
Heppner,57
Herald,92
Herculaneum,33
Hercules,267
Hereford,61
Herkimer,23
Herlong,28
Herman,1
Hermantown,30
Herminie,5
Hermiston,306
Hermitage,746
Hermosa Beach,7
Hernandez,1
Hernando,212
Hernando Beach,1
Herndon,475
Hernshaw,3
Heron,2
Heron Lake,57
Herriman,47
Herron,3
Herscher,1
Hersey,3
Hershey,41
Hertel,3
Hertford,13
Hesperia,1588
Hesperus,6
Hesston,10
Heth,108
Hettinger,6
Hewitt,34
Hewlett,6
Heyburn,13
Hialeah,9566
Hiawassee,4
Hiawatha,13
Hibbing,173
Hickman,57
Hickory,236
Hickory Creek,8
Hickory Flat,5
Hickory Grove,16
Hickory Hills,31
Hicksville,63
Hico,2
Hidalgo,1
Hidden Valley Lake,44
Hiddenite,7
Higden,14
Higganum,36
Higginsville,16
High Hill,31
High Point,170
High Ridge,68
High Springs,115
Highland,562
Highland City,3
Highland Falls,164
Highland Heights,3
Highland Home,41
Highland Mills,117
Highland Park,646
Highlands,84
Highlands Ranch,6
Highlandville,3
Highspire,14
Hightstown,310
Highwood,11
Hiko,15
Hilbert,6
Hildale,3
Hildebran,5
Hilger,5
Hilham,1
Hill AFB,3
Hill City,30
Hillburn,151
Hilliard,154
Hillman,18
Hillrose,11
Hillsboro,418
Hillsboro Beach,1
Hillsborough,311
Hillsdale,73
Hillsgrove,4
Hillside,897
Hillsville,239
Hilmar,228
Hilton,79
Hilton Head Island,94
Hiltons,1
Hinckley,248
Hindsville,8
Hines,77
Hinesville,28
Hingham,32
Hinkley,84
Hinsdale,293
Hinton,22
Hiram,25
Hitchcock,21
Hiwasse,4
Hixson,724
Hixton,17
Ho Ho Kus,6
Hoagland,4
Hobart,117
Hobbs,13
Hobe Sound,476
Hoboken,17
Hobson,19
Hobucken,4
Hockessin,55
Hockley,48
Hodges,149
Hoffman,27
Hoffman Estates,222
Hoffmeister,2
Hogansville,146
Hohenwald,12
Ho-Ho-Kus,6
Hokah,14
Holbrook,476
Holcombe,6
Holden,48
Holder,2
Holderness,2
Holdingford,2
Holdrege,5
Holiday,495
Holladay,31
Holland,400
Holland Patent,23
Hollandale,5
Holley,10
Holliday,4
Hollidaysburg,169
Hollis,67
Hollister,1056
Holliston,4
Holloway,15
Hollsopple,75
Holly,209
Holly Hill,253
Holly Pond,13
Holly Ridge,33
Holly Springs,1019
Hollywood,3529
Holman,1
Holmdel,193
Holmen,2
Holmes,105
Holmes Beach,1
Holmesville,1
Holstein,1
Holt,290
Holton,5
Holts Summit,8
Holtsville,137
Holtwood,29
Holyoke,42
Home,3
Homedale,1
Homeland,251
Homer,52
Homer City,27
Homer Glen,30
Homerville,15
Homestead,3747
Hometown,1
Homewood,34
Homosassa,170
Honaker,14
Hondo,3
Honea Path,240
Honeoye Falls,91
Honesdale,9
Honey Brook,94
Honey Grove,30
Honeyville,50
Hood,3
Hood River,340
Hoodsport,27
Hookerton,3
Hooks,8
Hooksett,52
Hookstown,1
Hoopa,123
Hooper,11
Hoosick Falls,78
Hooven,1
Hoover,24
Hooversville,30
Hop Bottom,2
Hopatcong,1
Hope,82
Hope Hull,119
Hope Mills,94
Hope Valley,22
Hopedale,13
Hopewell,162
Hopewell Junction,445
Hopkins,1056
Hopkinsville,17
Hopkinton,123
Hopland,243
Hopwood,4
Hoquiam,32
Horace,25
Horatio,9
Horizon City,1
Horn Lake,59
Hornbrook,170
Hornell,4
Horner,1
Hornitos,2
Horntown,2
Horse Cave,3
Horse Shoe,5
Horseheads,7
Horseshoe Bay,1
Horseshoe Beach,8
Horseshoe Bend,5
Horsham,318
Horton,21
Hortonville,8
Hoschton,74
Hosford,26
Hoskins,1
Hospers,1
Hosston,9
Hot Springs,76
Hot Springs National Park,171
Hot Springs Village,4
Hot Sulphur Springs,12
Hotchkiss,7
Houghton Lake,6
Houma,259
House Creek,2
House Springs,12
Houston,44424
Houstonia,3
Houtzdale,62
Howard,315
Howard Beach,236
Howard City,4
Howard Lake,23
Howardsville,10
Howe,50
Howell,279
Howells,2
Howes Cave,9
Howey in the Hills,60
Howey-in-the-Hills,10
Howland,2
Hoxie,5
Hoyleton,1
Hubbard,160
Hubbardston,2
Hubert,8
Huddleston,27
Hudgins,2
Hudson,1176
Hudson Falls,30
Hudsonville,130
Huff,12
Huffman,38
Huger,106
Hughes,10
Hughesville,205
Hughson,185
Hugo,268
Hull,16
Humble,688
Humboldt,21
Hume,7
Humeston,4
Hummelstown,53
Humnoke,6
Humphrey,8
Humptulips,4
Hungry Horse,5
Hunker,33
Hunlock Creek,2
Hunnewell,2
Hunt Valley,17
Hunter,9
Huntersville,528
Huntertown,15
Huntingburg,9
Huntingdon,254
Huntingdon Valley,767
Huntington,1270
Huntington Beach,379
Huntington Park,879
Huntington Station,464
Huntington Woods,63
Huntingtown,8
Huntland,3
Huntley,227
Huntly,6
Huntsburg,6
Huntsville,3120
Hurdle Mills,6
Hurdsfield,3
Hurley,31
Hurlock,47
Huron,294
Hurricane,332
Hurricane Mills,41
Hurst,304
Hurt,6
Hurtsboro,2
Huson,78
Hustle,2
Hustontown,32
Hutchins,129
Hutchinson,113
Hutto,53
Huttonsville,2
Huxley,14
Hyampom,4
Hyannis,23
Hyattsville,2448
Hyde Park,140
Hydesville,41
Hydro,5
Hyndman,27
Hyrum,1
Hysham,7
Iberia,7
Icard,1
Ickesburg,15
Ida,29
Idaho Falls,57
Idaho Springs,162
Idalia,2
Idalou,5
Idanha,55
Ider,1
Idledale,5
Idleyld Park,165
Igo,39
Ijamsville,292
Iliff,24
Ilion,10
Illiopolis,8
Imbler,17
Imboden,11
Imlay,53
Imlay City,8
Imler,33
Immaculata,1
Immokalee,258
Imogene,1
Imperial,60
Imperial Beach,14
Ina,17
Incline Village,70
Independence,1293
Indialantic,44
Indialantic-Melbourne Beach,1
Indian Creek,3
Indian Harbour Beach,7
Indian Head,33
Indian Head Park,3
Indian Hills,1
Indian Lake,11
Indian Mound,2
Indian Orchard,1
Indian River,15
Indian Rocks Beach,49
Indian Shores,4
Indian Trail,61
Indiana,34
Indianapolis,8526
Indianola,9
Indiantown,10
Industry,6
Inez,3
Ingalls,2
Ingleside,187
Inglewood,2266
Inglis,48
Ingomar,3
Inkom,12
Inkster,2
Inlet,1
Inlet Beach,58
Inman,1036
Intercession City,5
Intercourse,5
Interlachen,95
Interlaken,5
Interlochen,15
International Falls,54
Inver Grove Heights,465
Inverness,183
Inwood,247
Inyokern,129
Iola,5
Ione,233
Ionia,7
Iota,1
Iowa,42
Iowa City,433
Iowa Falls,28
Iowa Hill,1
Iowa Park,9
Ipswich,3
Ira,1
Irma,4
Irmo,1265
Iron,28
Iron City,6
Iron Station,28
Irondale,5
Irondequoit,7
Ironside,19
Ironton,20
Ironwood,4
Irrigon,133
Irvine,3229
Irving,1964
Irvington,844
Irvona,17
Irwin,265
Irwindale,8
Irwinton,4
Isabella,25
Isanti,29
Iselin,368
Ishpeming,3
Islamorada,66
Island Falls,6
Island Lake,12
Island Park,17
Islandia,227
Islandton,21
Isle,24
Isle Of Palms,1
Isleta,2
Isleton,595
Islip,58
Islip Terrace,59
Ismay,31
Isola,1
Issaquah,158
Italy,11
Itasca,272
Ithaca,66
Itta Bena,1
Iva,201
Ivanhoe,67
Ivor,25
Ivoryton,4
Jachin,1
Jack,11
Jackpot,24
Jackson,2614
Jackson Center,8
Jackson Heights,24
Jackson Springs,6
Jacksonboro,4
Jacksons Gap,3
Jacksonville,14785
Jacksonville Beach,52
Jacksonville East,1
Jacksonville West,2
Jacobson,38
Jacobus,2
Jaffrey,7
Jakin,2
Jal,41
Jamaica,1743
Jamaica Plain,183
James City,13
James Creek,53
Jamesburg,114
Jamestown,606
Jamesville,54
Jamieson,4
Jane Lew,14
Janesville,187
Jarratt,148
Jarrell,20
Jarrettsville,25
Jasper,619
Java,13
Jay,89
Jbsa Ft Sam Houston,3
Jbsa Lackland,4
Jeannette,134
Jeffers,15
Jefferson,678
Jefferson City,70
Jefferson Township,2
Jefferson Valley,14
Jeffersonton,11
Jeffersonville,198
Jeffrey City,3
Jellico,53
Jemez Pueblo,4
Jemez Springs,2
Jemison,319
Jenera,1
Jenison,62
Jenkins,5
Jenkinsburg,14
Jenkinsville,30
Jenkintown,445
Jenks,12
Jenner,104
Jenners,8
Jennerstown,4
Jennings,155
Jensen,20
Jensen Beach,4
Jericho,410
Jermyn,30
Jerome,114
Jeromesville,8
Jersey City,1662
Jersey Shore,204
Jersey Village,3
Jessieville,5
Jessup,381
Jesup,24
Jetersville,59
Jetmore,10
Jewell,2
Jewell Ridge,3
Jewett,7
Jewett City,97
Jim Falls,3
Jim Thorpe,39
Joanna,36
Jobstown,19
Joelton,361
Joes,1
Johannesburg,24
John Day,102
Johns Island,26
Johnsburg,8
Johnson,3
Johnson City,552
Johnson Creek,12
Johnsonburg,55
Johnsonville,166
Johnston,232
Johnston City,1
Johnstown,1344
Joiner,22
Joint Base Lewis Mcchord,1
Joliet,521
Jolley,3
Jolon,2
Jones,40
Jones Mills,5
Jonesboro,248
Jonesborough,110
Jonesburg,37
Jonestown,278
Jonesville,188
Joplin,107
Joppa,500
Jordan,196
Jordan Valley,421
Joseph,69
Joseph City,30
Joshua,1
Jud,1
Judith Gap,7
Judsonia,16
Julesburg,19
Juliaetta,2
Julian,64
Juliette,55
Junction,12
Junction City,209
June Lake,108
Juneau,2
Juntura,115
Jupiter,325
Jurupa Valley,1124
Justice,191
Justiceburg,6
Justin,20
Kabetogama,2
Kaibeto,25
Kaiser,1
Kalama,59
Kalamazoo,392
Kalispell,675
Kalkaska,2
Kalona,4
Kamas,117
Kamiah,2
Kanab,18
Kanarraville,20
Kandiyohi,3
Kane,245
Kankakee,63
Kannapolis,104
Kanorado,6
Kanosh,80
Kansas City,11882
Karlsruhe,1
Karnes City,7
Karns City,2
Karthaus,28
Karval,3
Kasota,22
Kasson,54
Kathio,1
Kathleen,33
Kathryn,5
Katonah,349
Katy,301
Kaufman,3
Kaukauna,46
Kaw,3
Kawkawlin,15
Kaycee,6
Kayenta,24
Kaysville,443
Keams Canyon,10
Keansburg,2
Kearney,105
Kearneysville,12
Kearny,937
Keasbey,171
Keedysville,7
Keeling,7
Keene,183
Keenes,1
Keenesburg,13
Keeseville,18
Keewatin,5
Keezletown,4
Keithville,108
Keizer,1
Kelford,2
Kell,11
Keller,4
Kelliher,19
Kellogg,99
Kellyton,4
Kelseyville,300
Kelso,114
Kemah,1
Kemp,1
Kempton,2
Kenansville,315
Kenbridge,51
Kendall Park,3
Kendallville,13
Kendleton,1
Kendrick,2
Kenesaw,1
Kenilworth,241
Kenly,73
Kenmare,3
Kenmore,2
Kenna,23
Kennard,5
Kennebunk,6
Kennedale,18
Kennedy,3
Kennedyville,11
Kenner,242
Kennerdell,2
Kennesaw,393
Kenneth City,20
Kennett,7
Kennett Square,311
Kennewick,13
Keno,64
Kenosha,88
Kenova,8
Kenoza Lake,3
Kensett,6
Kensington,150
Kent,662
Kent City,27
Kentfield,51
Kentland,16
Kenton,4
Kents Store,2
Kentwood,3
Kenwood,37
Kenyon,65
Keokuk,1
Keota,2
Kerby,62
Kerhonkson,14
Kerkhoven,15
Kerman,365
Kermit,30
Kernersville,279
Kernville,43
Kerrick,2
Kerrville,6
Kersey,90
Kershaw,213
Keswick,184
