City,Severity,Total Accidents
Kill Buck,2,3
Kill Buck,4,1
Killbuck,2,1
Killdeer,2,16
Killeen,2,1
Killen,1,1
Killen,2,35
Killingworth,2,3
Killingworth,4,1
Kilmarnock,2,22
Kilmarnock,4,7
Kiln,2,7
Kim,2,16
Kim,4,8
Kimball,1,3
Kimball,2,99
Kimball,3,1
Kimball,4,2
Kimberly,2,22
Kimbolton,2,1
Kimbolton,3,1
Kimmell,2,5
Kimmell,4,10
Kinard,2,5
Kinards,2,93
Kinards,3,15
Kinards,4,1
Kincaid,2,1
Kinderhook,2,15
Kinderhook,4,3
Kindred,2,9
King,2,16
King,4,2
King and Queen Court House,2,1
King City,1,11
King City,2,408
King City,4,5
King Ferry,2,2
King Ferry,4,1
King George,1,3
King George,2,472
King George,3,7
King George,4,119
King Hill,2,49
King Hill,4,1
King of Prussia,1,16
King of Prussia,2,1307
King of Prussia,3,130
King of Prussia,4,25
King William,2,36
King William,4,9
Kingdom City,2,28
Kingdom City,3,2
Kingman,1,3
Kingman,2,398
Kingman,3,39
Kingman,4,18
Kings Beach,2,144
Kings Beach,4,2
Kings Canyon National Pk,2,9
Kings Mills,2,1
Kings Mountain,1,1
Kings Mountain,2,101
Kings Mountain,3,8
Kings Mountain,4,18
Kings Park,2,9
Kings Park,4,1
Kingsburg,1,6
Kingsburg,2,534
Kingsburg,3,2
Kingsburg,4,2
Kingsbury,2,2
Kingsbury,4,2
Kingsland,2,35
Kingsland,3,8
Kingsland,4,10
Kingsley,2,25
Kingsley,3,1
Kingsley,4,2
Kingsport,2,100
Kingsport,3,19
Kingsport,4,12
Kingston,1,1
Kingston,2,409
Kingston,3,42
Kingston,4,17
Kingston Springs,1,1
Kingston Springs,2,54
Kingston Springs,3,8
Kingston Springs,4,3
Kingstree,1,9
Kingstree,2,209
Kingstree,4,1
Kingsville,2,171
Kingsville,3,10
Kingsville,4,11
Kingwood,1,5
Kingwood,2,513
Kingwood,3,18
Kingwood,4,2
Kinmundy,2,2
Kinmundy,3,2
Kinnelon,2,2
Kinney,2,2
Kinross,2,1
Kinross,3,1
Kinross,4,1
Kinsale,2,5
Kinsale,4,1
Kinsey,2,6
Kinsey,4,2
Kinston,2,62
Kinston,4,10
Kintyre,2,1
Kinzers,1,2
Kinzers,2,77
Kinzers,3,1
Kinzers,4,14
Kiowa,2,3
Kiowa,4,1
Kirby,2,3
Kirby,4,2
Kirkland,2,219
Kirkland,3,81
Kirkland,4,4
Kirkville,2,73
Kirkville,4,4
Kirkwood,2,66
Kirkwood,3,10
Kirkwood,4,3
Kirtland,4,1
Kissimmee,1,33
Kissimmee,2,7180
Kissimmee,3,191
Kissimmee,4,42
Kit Carson,2,30
Kit Carson,3,2
Kit Carson,4,17
Kittanning,2,39
Kittanning,4,11
Kittery,3,2
Kittery,4,1
Kittrell,2,4
Kittrell,4,2
Kitzmiller,2,1
Kitzmiller,4,1
Klamath,2,173
Klamath,4,1
Klamath Falls,1,4
Klamath Falls,2,874
Klamath Falls,3,2
Klamath Falls,4,9
Klamath River,2,68
Klickitat,2,2
Klingerstown,2,1
Knapp,2,24
Knapp,3,4
Knapp,4,2
Kneeland,2,24
Knightdale,1,36
Knightdale,2,1031
Knightdale,3,79
Knightdale,4,14
Knights Landing,1,1
Knights Landing,2,103
Knights Landing,4,2
Knightsen,2,3
Knightstown,2,97
Knightstown,3,9
Knightstown,4,10
Knob Noster,2,4
Knob Noster,4,1
Knobel,2,5
Knobel,4,3
Knox,2,110
Knox,3,11
Knox,4,8
Knox City,2,1
Knoxville,1,5
Knoxville,2,2003
Knoxville,3,624
Knoxville,4,68
Kodak,2,53
Kodak,3,15
Kodak,4,2
Kohler,2,3
Kohler,3,1
Kohler,4,1
Kokomo,1,7
Kokomo,2,31
Kokomo,3,1
Kokomo,4,4
Koosharem,2,10
Kooskia,2,1
Koppel,2,2
Koppel,4,1
Korbel,2,14
Kosciusko,4,3
Kossuth,2,1
Kouts,2,5
Kouts,4,3
Kramer,2,1
Kremlin,2,5
Kremmling,2,48
Kremmling,3,2
Kremmling,4,19
Kresgeville,2,3
Kresgeville,4,3
Krotz Springs,2,3
Krotz Springs,4,1
Krum,2,1
Kulm,2,4
Kulpmont,2,8
Kulpsville,1,2
Kulpsville,2,22
Kulpsville,3,16
Kuna,2,29
Kuna,4,1
Kunkletown,2,7
Kunkletown,4,2
Kure Beach,2,4
Kuttawa,2,6
Kuttawa,4,2
Kutztown,1,1
Kutztown,2,131
Kutztown,3,24
Kutztown,4,4
Kyburz,1,1
Kyburz,2,124
Kyburz,4,1
Kykotsmovi Village,2,3
Kykotsmovi Village,4,1
Kyle,1,1
Kyle,2,101
Kyle,3,35
Kyle,4,2
La Canada Flintridge,1,5
La Canada Flintridge,2,374
La Canada Flintridge,3,50
La Canada Flintridge,4,2
La Center,2,3
La Crescent,1,1
La Crescent,2,69
La Crescenta,1,3
La Crescenta,2,280
La Crescenta,3,28
La Crescenta,4,1
La Crosse,2,99
La Crosse,3,13
La Crosse,4,10
La Fargeville,2,2
La Fargeville,3,1
La Fayette,2,36
La Fayette,3,2
La Fayette,4,3
La Feria,2,1
La Follette,2,14
La Follette,3,5
La Follette,4,1
La Grande,2,1012
La Grande,3,11
La Grande,4,52
La Grange,1,7
La Grange,2,569
La Grange,3,374
La Grange,4,21
La Grange Highlands,2,2
La Grange Park,2,2
La Habra,2,40
La Habra Heights,2,4
La Honda,1,1
La Honda,2,92
La Honda,4,1
La Jara,2,23
La Jara,4,8
La Jolla,1,1
La Jolla,2,488
La Jolla,3,30
La Jolla,4,1
La Jose,1,1
La Jose,2,24
La Jose,4,1
La Joya,2,2
La Junta,2,24
La Junta,4,7
La Marque,2,36
La Marque,3,8
La Marque,4,6
La Mirada,2,229
La Mirada,3,31
La Motte,2,1
La Palma,2,225
La Pine,2,378
La Pine,3,2
La Pine,4,13
LA Place,2,61
LA Place,3,99
LA Place,4,10
La Plata,1,2
La Plata,2,148
La Plata,4,21
La Porte,2,131
La Porte,3,11
La Porte,4,21
La Porte City,2,5
La Porte City,3,1
La Pryor,2,3
La Puente,1,20
La Puente,2,2153
La Puente,3,133
La Puente,4,5
La Sal,2,7
La Salle,2,48
La Salle,3,54
La Salle,4,9
La Vergne,1,3
La Vergne,2,313
La Vergne,3,35
La Vergne,4,4
La Verkin,2,4
La Verne,1,2
La Verne,2,285
La Verne,3,11
La Veta,2,10
La Vista,1,2
La Vista,2,44
La Vista,3,16
La Vista,4,1
La Ward,4,1
Labadie,2,1
Labelle,2,153
Labelle,4,6
Lacey,2,37
Lacey,3,10
Laceys Spring,1,1
Laceys Spring,2,37
Laceys Spring,4,2
Laceyville,2,16
Laceyville,4,7
Lachine,2,1
Lackawaxen,2,11
Lacombe,2,20
Lacombe,3,11
Lacombe,4,1
Lacona,2,4
Laconia,1,3
Laconia,2,21
Lacrosse,2,2
Ladd,2,1
Laddonia,2,4
Laddonia,4,14
Ladera Ranch,1,3
Ladera Ranch,2,279
Ladera Ranch,3,2
Ladera Ranch,4,2
Ladoga,2,2
Ladoga,4,2
Ladora,2,6
Ladson,1,32
Ladson,2,853
Ladson,3,68
Ladson,4,2
Lady Lake,1,1
Lady Lake,2,74
Lady Lake,4,1
Ladysmith,2,1
Lafayette,1,348
Lafayette,2,2057
Lafayette,3,50
Lafayette,4,25
Lafayette Hill,1,2
Lafayette Hill,2,160
Lafayette Hill,4,1
Lago Vista,1,1
Lago Vista,2,12
LaGrange,2,167
LaGrange,3,33
LaGrange,4,36
Lagrangeville,1,1
Lagrangeville,2,121
Lagrangeville,3,2
Lagrangeville,4,2
Laguna,2,37
Laguna,3,5
Laguna,4,2
Laguna Beach,2,92
Laguna Hills,2,478
Laguna Hills,3,133
Laguna Hills,4,1
Laguna Niguel,2,377
Laguna Niguel,3,72
Laguna Woods,2,12
Lagunitas,2,14
Laingsburg,2,3
Laingsburg,3,1
Lairdsville,2,6
Lake,2,4
Lake,3,1
Lake,4,3
Lake Alfred,1,2
Lake Alfred,2,14
Lake Ariel,2,34
Lake Ariel,3,4
Lake Ariel,4,7
Lake Arrowhead,1,1
Lake Arrowhead,2,223
Lake Arrowhead,4,3
Lake Arthur,2,1
Lake Barrington,2,13
Lake Barrington,3,1
Lake Bluff,1,1
Lake Bluff,2,143
Lake Bluff,3,16
Lake Bluff,4,2
Lake Butler,2,122
Lake Butler,3,1
Lake Charles,2,226
Lake Charles,3,170
Lake Charles,4,19
Lake City,1,28
Lake City,2,1453
Lake City,3,95
Lake City,4,37
Lake Crystal,2,100
Lake Crystal,4,3
Lake Dallas,2,107
Lake Dallas,3,115
Lake Dallas,4,2
Lake Elmo,1,5
Lake Elmo,2,111
Lake Elmo,3,5
Lake Elmo,4,1
Lake Elsinore,1,7
Lake Elsinore,2,1093
Lake Elsinore,3,44
Lake Elsinore,4,5
Lake Forest,1,9
Lake Forest,2,956
Lake Forest,3,95
Lake Forest,4,5
Lake Forest Park,2,2
Lake Geneva,2,4
Lake Geneva,3,1
Lake Geneva,4,1
Lake George,2,237
Lake George,3,11
Lake George,4,21
Lake Grove,1,1
Lake Grove,2,9
Lake Harmony,2,53
Lake Harmony,3,5
Lake Harmony,4,5
Lake Havasu City,2,274
Lake Havasu City,3,10
Lake Havasu City,4,25
Lake Helen,2,41
Lake Helen,3,25
Lake Hopatcong,2,32
Lake Hopatcong,3,1
Lake Hopatcong,4,1
Lake Hughes,2,71
Lake Huntington,2,1
Lake In The Hills,2,9
Lake In The Hills,4,4
Lake Isabella,2,171
Lake Isabella,4,3
Lake Jackson,1,1
Lake Jackson,2,13
Lake Jackson,3,2
Lake Junaluska,2,3
Lake Junaluska,4,1
Lake Katrine,2,47
Lake Katrine,4,2
Lake Leelanau,2,1
Lake Leelanau,4,1
Lake Lillian,2,22
Lake Lure,2,5
Lake Lure,4,2
Lake Luzerne,2,8
Lake Lynn,2,6
Lake Mary,1,9
Lake Mary,2,438
Lake Mary,3,54
Lake Mary,4,9
Lake Mills,2,19
Lake Mills,4,1
Lake Milton,2,7
Lake Milton,3,3
Lake Odessa,2,2
Lake Odessa,3,1
Lake Orion,1,1
Lake Orion,2,1
Lake Oswego,2,127
Lake Oswego,3,14
Lake Oswego,4,4
Lake Panasoffkee,2,40
Lake Panasoffkee,3,20
Lake Panasoffkee,4,3
Lake Park,2,29
Lake Park,3,3
Lake Park,4,5
Lake Placid,1,3
Lake Placid,2,198
Lake Placid,3,1
Lake Placid,4,5
Lake Powell,2,5
Lake Providence,2,1
Lake Saint Louis,2,23
Lake Saint Louis,3,21
Lake Saint Louis,4,1
Lake Sherwood,2,4
Lake St Louis,2,15
Lake St Louis,3,1
Lake St Louis,4,1
Lake Station,2,285
Lake Station,3,74
Lake Station,4,11
Lake Stevens,2,103
Lake Stevens,3,1
Lake Stevens,4,10
Lake Suzy,2,5
Lake Tapps,2,6
Lake Toxaway,2,13
Lake Toxaway,4,3
Lake View,1,2
Lake View,2,87
Lake View,4,2
Lake Villa,1,7
Lake Villa,2,215
Lake Villa,4,4
Lake Village,2,34
Lake Village,4,19
Lake Waccamaw,2,4
Lake Wales,1,10
Lake Wales,2,92
Lake Wales,3,1
Lake Wales,4,4
Lake Wilson,2,22
Lake Worth,1,10
Lake Worth,2,908
Lake Worth,3,198
Lake Worth,4,4
Lake Worth Beach,1,8
Lake Worth Beach,2,439
Lake Worth Beach,3,39
Lake Worth Beach,4,5
Lake Zurich,1,16
Lake Zurich,2,792
Lake Zurich,3,4
Lake Zurich,4,5
Lakebay,2,1
Lakefield,2,126
Lakehead,2,357
Lakehead,3,13
Lakehead,4,1
Lakehurst,2,13
Lakehurst,4,1
Lakeland,1,70
Lakeland,2,1157
Lakeland,3,100
Lakeland,4,17
Lakemoor,1,1
Lakemoor,2,11
Lakeport,1,3
Lakeport,2,293
Lakeshore,2,6
Lakeside,2,85
Lakeside,4,1
Lakeside Park,2,2
Lakeside-Marblehead,2,1
Lakeview,2,247
Lakeview,4,2
Lakeville,1,1
Lakeville,2,465
Lakeville,3,26
Lakeville,4,12
Lakeway,2,12
Lakewood,1,13
Lakewood,2,691
Lakewood,3,141
Lakewood,4,15
Lakewood Ranch,1,1
Lakewood Ranch,2,29
Lakewood Ranch,4,2
Lakota,2,5
Lakota,4,1
Lamar,1,7
Lamar,2,234
Lamar,3,5
Lamar,4,24
Lambert,2,1
Lamberton,2,18
Lambertville,2,3
Lambertville,4,1
Lambsburg,2,25
Lambsburg,3,17
Lambsburg,4,1
Lame Deer,2,36
Lame Deer,4,2
Lamesa,2,3
Lamesa,4,1
Lamoille,2,2
Lamoni,2,6
Lamont,2,367
Lamont,3,7
Lamont,4,3
Lamoure,2,2
Lampasas,4,2
Lamy,4,1
Lancaster,1,260
Lancaster,2,6656
Lancaster,3,171
Lancaster,4,118
Lancing,2,1
Lancing,4,1
Land O Lakes,1,37
Land O Lakes,2,960
Land O Lakes,3,3
Land O Lakes,4,4
Landenberg,2,59
Lander,2,2
Lander,4,1
Landing,2,20
Landing,4,2
Landis,2,4
Landisburg,2,15
Landisburg,4,2
Landisville,2,60
Landrum,1,10
Landrum,2,197
Landrum,3,3
Lane,2,13
Lanesboro,2,24
Lanesville,2,8
Lanesville,4,1
Lanett,1,1
Lanett,2,15
Lanett,3,10
Lanett,4,1
Laneview,2,3
Laneview,4,1
Lanexa,2,317
Lanexa,3,44
Lanexa,4,21
Langdon,2,2
Langford,2,1
Langhorne,2,214
Langhorne,3,17
Langhorne,4,25
Langley,2,4
Langley,4,1
Langlois,2,22
Langtry,2,2
Lanham,2,487
Lanham,3,29
Lanham,4,34
Lansdale,1,23
Lansdale,2,753
Lansdale,3,2
Lansdale,4,7
Lansdowne,2,141
Lanse,2,2
Lansford,2,3
Lansing,1,2
Lansing,2,528
Lansing,3,251
Lansing,4,54
Lantana,1,1
Lantana,2,6
Lapeer,2,16
Lapeer,4,4
Lapel,2,4
Lapel,4,4
Lapine,2,9
Lapine,4,1
Laplace,2,92
Laplace,3,10
Laplace,4,7
Laporte,1,3
Laporte,2,68
Laporte,4,5
Laramie,2,168
Laramie,3,1
Laramie,4,21
Larchmont,2,131
Larchmont,3,25
Larchmont,4,2
Laredo,1,1
Laredo,2,21
Laredo,3,10
Laredo,4,9
Largo,1,53
Largo,2,1415
Larimer,2,2
Larimore,2,6
Larkspur,1,3
Larkspur,2,194
Larkspur,3,106
Larkspur,4,8
Larned,2,4
Larned,4,2
Larose,2,1
Larose,4,1
Larsen,2,8
Larsen,3,1
Larsen,4,1
Larwill,2,1
Larwill,3,1
Las Animas,2,22
Las Animas,3,1
Las Animas,4,7
Las Cruces,2,66
Las Cruces,3,15
Las Cruces,4,9
Las Vegas,2,11
Las Vegas,3,1
Latham,2,608
Latham,3,34
Latham,4,15
Lathrop,1,1
Lathrop,2,626
Lathrop,3,50
Lathrop,4,1
Latimer,2,14
Latimer,3,1
Latimer,4,1
Laton,1,1
Laton,2,140
Laton,4,2
Latonia,1,7
Latonia,2,40
Latonia,3,25
Latonia,4,1
Latrobe,1,1
Latrobe,2,138
Latrobe,3,1
Latrobe,4,29
Latta,1,5
Latta,2,446
Latta,3,26
Latta,4,4
Lauderdale By The Sea,2,1
Lauderdale Lakes,1,2
Lauderdale Lakes,2,107
Lauderdale Lakes,4,1
Lauderhill,2,47
Laughlin,1,2
Laughlin,2,60
Laughlin,4,1
Laughlintown,2,15
Laurel,1,5
Laurel,2,1087
Laurel,3,45
Laurel,4,61
Laurel Fork,2,3
Laurel Fork,4,1
Laurel Hill,2,55
Laurel Hill,3,1
Laurel Run,2,13
Laurel Run,4,4
Laurel Springs,2,9
Laurel Springs,4,6
Laurelton,2,7
Laurelville,2,1
Laurens,1,33
Laurens,2,566
Laurens,3,8
Laurens,4,10
Laurinburg,2,51
Laurinburg,4,12
Lava Hot Springs,2,4
Lavaca,2,5
Lavaca,4,3
Lavallette,2,2
Lavallette,4,1
Laveen,1,2
Laveen,2,204
Laveen,3,3
Laveen,4,1
Lavina,2,26
Lavonia,1,1
Lavonia,2,44
Lavonia,3,16
Lavonia,4,3
Lawley,2,23
Lawley,4,1
Lawndale,1,1
Lawndale,2,335
Lawndale,3,74
Lawndale,4,2
Lawnside,2,126
Lawnside,3,12
Lawnside,4,2
Lawrence,1,6
Lawrence,2,127
Lawrence,3,25
Lawrence,4,7
Lawrence Township,2,120
Lawrence Township,3,17
Lawrence Township,4,7
Lawrence Twp,2,97
Lawrence Twp,3,5
Lawrence Twp,4,4
Lawrenceburg,2,33
Lawrenceburg,3,2
Lawrenceburg,4,5
Lawrenceville,1,4
Lawrenceville,2,354
Lawrenceville,3,35
Lawrenceville,4,33
Lawsonville,2,6
Lawsonville,4,1
Lawtey,2,28
Lawtey,4,1
Lawton,2,9
Lawton,3,1
Lawton,4,5
Layton,1,2
Layton,2,419
Layton,3,66
Layton,4,1
Laytonville,2,153
Le Center,2,10
Le Claire,2,45
Le Claire,3,5
Le Claire,4,3
Le Grand,1,2
Le Grand,2,105
Le Mars,1,2
Le Mars,2,9
Le Mars,3,2
Le Mars,4,2
Le Raysville,2,1
Le Roy,2,127
Le Roy,3,15
Le Sueur,2,98
Le Sueur,3,1
Leadville,2,35
Leadville,4,13
League City,2,54
League City,3,42
League City,4,2
Leamington,2,4
Leander,1,19
Leander,2,179
Leander,3,1
Leander,4,1
Leary,2,1
Leasburg,2,5
Leasburg,4,2
Leavenworth,2,18
Leavenworth,4,10
Leavittsburg,2,6
Leawood,1,1
Leawood,2,237
Leawood,3,41
Lebanon,1,6
Lebanon,2,951
Lebanon,3,126
Lebanon,4,131
Lebanon Junction,2,50
Lebanon Junction,3,2
Lebanon Junction,4,9
Lebec,1,5
Lebec,2,1098
Lebec,3,124
Lebec,4,9
Lebo,2,3
Lebo,4,1
Lecanto,1,4
Lecanto,2,97
Lecanto,4,1
Leck Kill,2,4
Lecompte,2,4
Lecompte,3,4
Lecompte,4,1
Lecompton,2,3
Ledbetter,2,4
Ledgewood,2,46
Ledgewood,3,17
Ledgewood,4,4
Ledyard,2,7
Ledyard,4,3
Lee,1,2
Lee,2,118
Lee,3,19
Lee,4,7
Lee Center,2,9
Lee Vining,2,82
Lee Vining,3,1
Lee Vining,4,6
Leechburg,2,26
Leechburg,4,4
Leeds,1,13
Leeds,2,246
Leeds,3,67
Leeds,4,9
Leeper,2,29
Leeper,4,3
Lees Summit,2,409
Lees Summit,3,81
Lees Summit,4,3
Lee's Summit,1,1
Lee's Summit,2,225
Lee's Summit,3,5
Lee's Summit,4,4
Leesburg,1,7
Leesburg,2,1290
Leesburg,3,12
Leesburg,4,84
Leesport,2,23
Leesport,4,2
Leesville,1,6
Leesville,2,267
Leesville,3,20
Leesville,4,10
Leetonia,2,5
Leetonia,3,1
Leetsdale,2,9
Leetsdale,4,2
Left Hand,2,13
Leggett,2,112
Lehi,1,4
Lehi,2,479
Lehi,3,117
Lehi,4,1
Lehigh Acres,1,107
Lehigh Acres,2,1667
Lehigh Acres,4,11
Lehighton,2,48
Lehighton,3,34
Lehighton,4,10
Leicester,2,29
Leicester,4,11
Leighton,1,1
Leighton,2,21
Leitchfield,2,3
Leland,2,181
Leland,3,14
Leland,4,18
Lemitar,2,4
Lemitar,4,2
Lemon Cove,1,1
Lemon Cove,2,36
Lemont,1,2
Lemont,2,64
Lemont,3,25
Lemont,4,1
Lemont Furnace,2,4
Lemoore,1,4
Lemoore,2,494
Lemoore,4,3
Lemoyne,1,1
Lemoyne,2,290
Lemoyne,3,44
Lemoyne,4,14
Lena,2,13
Lena,3,3
Lena,4,2
Lenexa,1,4
Lenexa,2,758
Lenexa,3,77
Lenexa,4,6
Lengby,2,3
Lenhartsville,2,191
Lenhartsville,3,50
Lenhartsville,4,15
Lennon,1,1
Lennon,2,51
Lennon,4,1
Lenoir,2,43
Lenoir,4,19
Lenoir City,2,213
Lenoir City,3,62
Lenoir City,4,12
Lenore,4,2
Lenox,1,1
Lenox,2,24
Lenox,3,6
Lenox,4,1
Lenzburg,2,1
Leo,2,7
Leo,3,1
Leo,4,1
Leola,1,6
Leola,2,232
Leola,4,9
Leoma,2,1
Leominster,1,4
Leominster,2,37
Leominster,3,1
Leon,2,5
Leona Valley,2,40
Leonard,2,6
Leonard,4,1
Leonardo,2,4
Leonardo,4,1
Leonardtown,2,44
Leonardtown,4,15
Leonia,2,121
Leonia,3,37
Leonia,4,3
Leopolis,2,1
Leopolis,3,1
Leopolis,4,1
Lepanto,2,2
Lepanto,4,1
Lerona,2,1
Leroy,2,3
Lesage,2,2
Lesage,4,1
Leslie,2,29
Leslie,4,10
Lester,2,4
Lester Prairie,1,1
Lester Prairie,2,21
Lesterville,2,1
Letohatchee,2,91
Letohatchee,3,54
Letohatchee,4,5
Letts,2,2
Leupp,2,2
Levan,1,1
Levan,2,6
Levelland,1,1
Levelland,2,2
Levelland,4,2
Levering,2,1
Levittown,1,2
Levittown,2,66
Levittown,3,4
Levittown,4,9
Lewes,2,27
Lewes,4,5
Lewis,2,3
Lewis Center,1,1
Lewis Center,2,144
Lewis Center,3,5
Lewis Center,4,1
Lewis Run,2,83
Lewis Run,4,5
Lewisberry,1,3
Lewisberry,2,113
Lewisberry,3,9
Lewisberry,4,5
Lewisburg,1,1
Lewisburg,2,347
Lewisburg,3,21
Lewisburg,4,27
Lewiston,1,1
Lewiston,2,190
Lewiston,3,4
Lewiston,4,3
Lewiston Woodville,2,14
Lewiston Woodville,4,2
Lewistown,1,6
Lewistown,2,432
Lewistown,3,2
Lewistown,4,20
Lewisville,1,1
Lewisville,2,629
Lewisville,3,314
Lewisville,4,17
Lexa,2,1
Lexington,1,208
Lexington,2,4275
Lexington,3,324
Lexington,4,139
Lexington Park,2,43
Lexington Park,4,13
Libby,2,65
Liberal,2,1
Liberty,1,39
Liberty,2,949
Liberty,3,90
Liberty,4,26
Liberty Center,2,8
Liberty Center,3,2
Liberty Hill,1,2
Liberty Hill,2,16
Liberty Hill,4,4
Liberty Lake,2,37
Liberty Lake,3,19
Liberty Lake,4,3
Liberty Township,2,3
Liberty Township,3,1
Liberty Twp,2,5
Libertytown,2,1
Libertytown,4,1
Libertyville,1,13
Libertyville,2,568
Libertyville,3,42
Libertyville,4,7
Licking,2,4
Lickingville,2,8
Lickingville,4,1
Lidgerwood,2,3
Lignum,2,6
Lignum,4,3
Ligonier,2,96
Ligonier,3,2
Ligonier,4,13
Likely,2,12
Lilburn,1,1
Lilburn,2,28
Lilburn,3,1
Lilesville,2,10
Lilesville,4,1
Lillie,2,2
Lillington,2,53
Lillington,3,1
Lillington,4,31
Lilliwaup,2,22
Lilliwaup,3,1
Lilly,2,38
Lilly,4,1
Lima,1,1
Lima,2,92
Lima,3,36
Lima,4,2
Limestone,1,1
Limestone,2,20
Limestone,4,1
Limon,2,34
Limon,3,3
Limon,4,14
Lincoln,1,7
Lincoln,2,740
Lincoln,3,97
Lincoln,4,18
Lincoln City,2,107
Lincoln City,4,1
Lincoln Park,1,1
Lincoln Park,2,121
Lincoln Park,3,56
Lincoln Park,4,7
Lincoln University,2,27
Lincolnshire,1,2
Lincolnshire,2,104
Lincolnshire,3,4
Lincolnshire,4,2
Lincolnton,2,105
Lincolnton,3,2
Lincolnton,4,15
Lincolnwood,2,15
Lincolnwood,3,9
Lincroft,2,63
Lind,2,5
Lindale,2,3
Lindale,3,3
Lindale,4,1
Linden,1,11
Linden,2,1033
Linden,3,34
Linden,4,26
Lindenhurst,2,41
Lindenhurst,3,1
Lindenhurst,4,4
Lindenwold,2,1
Lindenwold,4,1
Lindenwood,2,1
Lindenwood,3,19
Lindley,2,1
Lindon,1,4
Lindon,2,173
Lindon,3,15
Lindon,4,1
Lindsay,1,4
Lindsay,2,326
Lindsay,4,1
Lindsey,2,6
Lindsey,3,2
Lindside,2,1
Lindstrom,2,32
Line Lexington,1,1
Line Lexington,2,11
Line Lexington,4,2
Lineboro,2,2
Lineboro,4,1
Linesville,2,5
Linesville,4,5
Lineville,2,2
Lineville,4,2
Linfield,2,5
Lingle,2,2
Lingle,4,2
Linkwood,2,4
Linkwood,3,1
Linn,2,3
Linn,4,1
Linthicum Heights,1,4
Linthicum Heights,2,454
Linthicum Heights,3,31
Linthicum Heights,4,29
Linton,2,15
Linton,4,2
Linville,2,27
Linville,3,1
Linville,4,7
Linwood,2,54
Linwood,3,13
Linwood,4,6
Lisbon,2,22
Lisbon,4,3
Lisbon Falls,2,2
Lisle,1,24
Lisle,2,299
Lisle,3,71
Lisle,4,3
Lismore,2,7
Litchfield,1,5
Litchfield,2,124
Litchfield,3,45
Litchfield,4,3
Litchfield Park,1,1
Litchfield Park,2,89
Litchfield Park,3,1
Litchfield Park,4,3
Lithia,1,11
Lithia,2,37
Lithia Springs,1,1
Lithia Springs,2,174
Lithia Springs,3,97
Lithia Springs,4,20
Lithonia,2,355
Lithonia,3,195
Lithonia,4,32
Lithopolis,2,2
Lititz,1,9
Lititz,2,513
Lititz,3,2
Lititz,4,21
Little Birch,2,2
Little Birch,4,2
Little Chute,2,7
Little Chute,3,1
Little Chute,4,1
Little Elm,1,1
Little Elm,2,1
Little Falls,1,3
Little Falls,2,478
Little Falls,3,34
Little Falls,4,4
Little Ferry,2,11
Little Ferry,4,2
Little Hocking,2,5
Little Hocking,4,1
Little Mountain,1,4
Little Mountain,2,201
Little Mountain,3,58
Little Mountain,4,14
Little Neck,2,410
Little Neck,3,105
Little Orleans,2,12
Little Orleans,3,2
Little Orleans,4,3
Little Plymouth,2,8
Little Plymouth,4,3
Little River,1,23
Little River,2,525
Little River,3,2
Little River,4,1
Little Rock,1,3
Little Rock,2,2230
Little Rock,3,26
Little Rock,4,53
Little Rock Air Force Base,2,1
Little Rock Air Force Base,4,1
Little Sioux,1,2
Little Sioux,2,4
Little Sioux,3,1
Little Valley,2,3
Littlefield,2,142
Littlefield,3,4
Littlefield,4,6
Littlefork,2,6
Littlerock,1,7
Littlerock,2,376
Littlerock,3,3
Littlerock,4,4
Littlestown,1,2
Littlestown,2,114
Littlestown,4,7
Littleton,1,24
Littleton,2,735
Littleton,3,46
Littleton,4,33
Live Oak,1,7
Live Oak,2,534
Live Oak,3,27
Live Oak,4,5
Livermore,1,37
Livermore,2,2027
Livermore,3,287
Livermore,4,10
Livermore Falls,2,1
Liverpool,1,1
Liverpool,2,265
Liverpool,3,6
Liverpool,4,24
Livingston,1,2
Livingston,2,1316
Livingston,3,35
Livingston,4,21
Livingston Manor,2,19
Livingston Manor,4,1
Livonia,1,2
Livonia,2,235
Livonia,3,77
Livonia,4,4
Lizton,2,4
Lizton,3,3
Llano,1,1
Llano,2,215
Llano,4,2
Loa,2,8
Lobelville,2,2
Lobelville,4,1
Loch Sheldrake,2,1
Loch Sheldrake,4,2
Lock Haven,1,1
Lock Haven,2,215
Lock Haven,3,1
Lock Haven,4,12
Lockbourne,1,5
Lockbourne,2,63
Lockbourne,3,3
Lockbourne,4,1
Locke,2,15
Locke,4,7
Lockeford,2,93
Lockeford,4,1
Lockesburg,2,15
Lockesburg,4,4
Lockhart,1,1
Lockhart,2,40
Lockhart,4,2
Lockney,2,1
Lockport,1,2
Lockport,2,106
Lockport,3,6
Lockport,4,16
Lockridge,2,1
Lockwood,1,1
Lockwood,2,26
Locust Fork,1,1
Locust Fork,2,29
Locust Fork,3,1
Locust Fork,4,2
Locust Gap,2,4
Locust Gap,4,2
Locust Grove,1,1
Locust Grove,2,234
Locust Grove,3,43
Locust Grove,4,25
Locust Hill,2,4
Locust Hill,4,2
Locust Valley,2,1
Lodge,1,3
Lodge,2,26
Lodge Grass,2,143
Lodge Grass,4,2
Lodgepole,2,1
Lodi,1,12
Lodi,2,1270
Lodi,3,32
Lodi,4,4
Log Lane Village,2,2
Log Lane Village,3,2
Log Lane Village,4,2
Logan,2,97
