City,Severity,Total Accidents
Bass Lake,2,47
Bassett,2,69
Bassett,3,2
Bassett,4,28
Bastian,2,53
Bastian,3,6
Bastian,4,7
Bastrop,1,1
Bastrop,2,7
Basye,2,1
Basye,4,2
Batavia,1,8
Batavia,2,337
Batavia,3,14
Batavia,4,4
Bates,2,39
Bates City,2,48
Bates City,3,6
Bates City,4,2
Batesburg,1,3
Batesburg,2,137
Batesburg,3,4
Batesburg,4,2
Batesburg-Leesville,1,6
Batesburg-Leesville,2,170
Batesburg-Leesville,3,1
Batesburg-Leesville,4,3
Batesville,2,53
Batesville,3,3
Batesville,4,11
Bath,2,43
Bath,4,12
Baton Rouge,1,634
Baton Rouge,2,21014
Baton Rouge,3,1116
Baton Rouge,4,68
Battle Creek,2,195
Battle Creek,3,49
Battle Creek,4,19
Battle Ground,2,28
Battle Ground,3,1
Battle Lake,2,40
Battle Mountain,2,45
Battle Mountain,3,5
Battle Mountain,4,2
Battleboro,2,36
Battleboro,3,6
Battleboro,4,4
Battlefield,2,4
Baudette,2,25
Bauxite,2,3
Baxley,2,5
Baxley,4,3
Baxter,1,1
Baxter,2,81
Baxter,3,1
Bay,2,16
Bay City,2,104
Bay City,3,6
Bay City,4,9
Bay Harbor Islands,2,24
Bay Minette,1,1
Bay Minette,2,102
Bay Minette,3,21
Bay Minette,4,10
Bay Pines,2,1
Bay Point,1,7
Bay Point,2,210
Bay Saint Louis,2,22
Bay Saint Louis,3,5
Bay Saint Louis,4,2
Bay Shore,1,8
Bay Shore,2,384
Bay Shore,3,4
Bay Shore,4,4
Bay Springs,2,2
Bay St Louis,1,1
Bay St Louis,2,28
Bay St Louis,4,3
Bayard,2,3
Bayard,4,1
Bayboro,2,2
Bayfield,2,8
Bayfield,4,6
Bayonne,2,162
Bayonne,3,14
Bayonne,4,4
Bayou La Batre,2,1
Bayport,1,3
Bayport,2,69
Bayport,3,1
Bayside,1,1
Bayside,2,472
Bayside,3,17
Bayside,4,6
Bayside Hills,3,1
Baytown,1,1
Baytown,2,94
Baytown,3,33
Baytown,4,13
Bayville,2,59
Bayville,4,1
Beach City,1,1
Beach City,2,7
Beach City,4,2
Beach Haven,2,1
Beach Lake,2,2
Beach Park,1,1
Beach Park,2,72
Beach Park,4,4
Beachwood,1,6
Beachwood,2,104
Beachwood,3,35
Beacon,1,1
Beacon,2,177
Beacon,3,37
Beacon,4,1
Beacon Falls,2,51
Beacon Falls,3,1
Beacon Falls,4,6
Beale AFB,2,5
Bealeton,2,248
Bealeton,3,5
Bealeton,4,35
Beallsville,2,6
Beallsville,4,3
Bean Station,2,2
Bean Station,4,1
Bear,1,8
Bear,2,194
Bear,3,2
Bear,4,24
Bear Creek,2,6
Bear Creek,4,1
Bear Creek Township,2,5
Bear Creek Township,3,1
Bear Creek Township,4,2
Bear Lake,2,2
Bear Mountain,2,17
Bearcreek,2,3
Bearden,2,10
Bearden,4,4
Beasley,2,6
Beasley,4,1
Beatrice,2,5
Beatty,2,21
Beatty,4,1
Beattyville,2,1
Beattyville,4,1
Beaufort,1,29
Beaufort,2,694
Beaufort,4,1
Beaumont,1,1
Beaumont,2,41
Beaumont,3,15
Beaumont,4,7
Beaver,1,1
Beaver,2,248
Beaver,3,18
Beaver,4,6
Beaver Creek,2,7
Beaver Crossing,2,15
Beaver Crossing,3,1
Beaver Crossing,4,2
Beaver Dam,2,3
Beaver Falls,2,61
Beaver Falls,3,9
Beaver Falls,4,9
Beaver Springs,1,2
Beaver Springs,2,56
Beaver Springs,4,9
Beavercreek,1,1
Beavercreek,2,7
Beavercreek,3,2
Beavercreek Township,2,1
Beaverdale,2,3
Beaverdam,2,5
Beaverdam,4,3
Beaverton,1,1
Beaverton,2,452
Beaverton,3,3
Beaverton,4,16
Beavertown,2,27
Beavertown,4,4
Beccaria,2,2
Bechtelsville,2,13
Bechtelsville,4,2
